date	title	note
2019-05-14T19:34:19.654611	grossmend_1	gross - white; grail - black
2019-05-14T19:34:34.675031	grossmend_1	d4 d5
2019-05-14T19:34:45.514569	grossmend_1	c4 Nc6
2019-05-14T19:35:06.241171	grossmend_1	cxd5 Qxd5
2019-05-14T23:53:26.690246	gross	Grossmend - GrailFinder
2019-05-14T23:53:26.690246	gross	d4 d5
2019-05-14T23:53:26.690246	gross	c4 Nc6
2019-05-14T23:53:26.690246	gross	cxd5 Qxd5
2019-05-14T23:53:26.690246	gross	e3 e5
